,prod1,prod2,prod3,prod4,prod5,prod6,prod7,prod8,prod9,prod10,prod11,prod12,prod13,prod14,prod15,prod16,prod17,prod18,prod19
0,UK-0031079,UK-0054770,,,,,,,,,,,,,,,,,
1,UK-0050593,UK-0050677,,,,,,,,,,,,,,,,,
2,UK-0050593,UK-0050677,,,,,,,,,,,,,,,,,
3,UK-0050593,UK-0050677,,,,,,,,,,,,,,,,,
4,UK-0050593,UK-0050677,,,,,,,,,,,,,,,,,
5,UK-0050593,UK-0050677,,,,,,,,,,,,,,,,,
6,UK-0050593,UK-0050677,UK-0054770,,,,,,,,,,,,,,,,
7,UK-0050593,UK-0050677,,,,,,,,,,,,,,,,,
8,UK-0050593,UK-0050677,,,,,,,,,,,,,,,,,
9,UK-0050593,UK-0054770,,,,,,,,,,,,,,,,,
10,UK-0050677,UK-0054770,,,,,,,,,,,,,,,,,
11,UK-0050677,UK-0054770,,,,,,,,,,,,,,,,,
12,MTA-0004604,UK-0031079,,,,,,,,,,,,,,,,,
13,MTA-0004604,UK-0050677,,,,,,,,,,,,,,,,,
14,MTA-0004604,UK-0054770,,,,,,,,,,,,,,,,,
15,MTA-0004604,UK-0054770,,,,,,,,,,,,,,,,,
16,MTA-0004604,UK-0054770,,,,,,,,,,,,,,,,,
17,MTA-0004604,MTA-0017700,MTA-0066019,MTA-0088734,MTA-0138708,MTA-0257081,MTA-0473988,MTA-0894200,MTA-2243015,MTA-2270988,MTA-2270991,MTA-2271001,,,,,,,
18,MTA-0004604,MTA-0017700,MTA-0020145,MTA-0021084,MTA-0138708,MTA-1049874,MTA-1049875,MTA-1310178,MTA-1666072,UK-0054770,,,,,,,,,
19,MTA-0004604,MTA-0017700,MTA-0066019,MTA-0116012,MTA-0255000,MTA-0612626,MTA-0883838,MTA-1101276,MTA-1310178,MTA-1666072,,,,,,,,,
20,MTA-0004604,MTA-0017700,MTA-0020145,MTA-0066019,MTA-0255000,MTA-0430629,MTA-0648496,MTA-1310178,MTA-2007323,MTA-2115101,MTA-2115134,MTA-2174447,MTA-2283719,,,,,,
21,MTA-0004604,MTA-0020145,MTA-0648496,UK-0050677,,,,,,,,,,,,,,,
22,MTA-0004604,MTA-0020145,,,,,,,,,,,,,,,,,
23,MTA-0004604,MTA-0020145,MTA-0066019,MTA-0116012,MTA-1310178,,,,,,,,,,,,,,
24,MTA-0004604,MTA-0020145,MTA-0116012,MTA-0179717,MTA-0473988,MTA-1362587,MTA-1937586,MTA-2048936,UK-0031079,,,,,,,,,,
25,MTA-0004604,MTA-0020145,MTA-1666072,MTA-1943785,,,,,,,,,,,,,,,
26,MTA-0004604,MTA-0020145,MTA-0066019,MTA-0257081,MTA-1431893,,,,,,,,,,,,,,
27,MTA-0004604,MTA-0020145,MTA-0066019,MTA-0138708,MTA-0648496,MTA-1666072,MTA-1943785,MTA-2242934,MTA-2270988,MTA-2270991,MTA-2271001,,,,,,,,
28,MTA-0004604,MTA-0021084,MTA-0116012,UK-0050593,,,,,,,,,,,,,,,
29,MTA-0004604,MTA-0066019,MTA-0883838,MTA-1666072,MTA-2007323,MTA-2270988,MTA-2270991,MTA-2271001,,,,,,,,,,,
30,MTA-0004604,MTA-0066019,MTA-0883838,MTA-1666072,MTA-2270988,MTA-2270991,MTA-2271001,MTA-2301135,,,,,,,,,,,
31,MTA-0004604,MTA-0066019,MTA-0088734,MTA-0430629,MTA-1362587,MTA-1666072,MTA-1943785,MTA-2270988,MTA-2270991,MTA-2271001,,,,,,,,,
32,MTA-0004604,MTA-0066019,MTA-0430629,MTA-1666072,MTA-2007323,MTA-2270988,MTA-2270991,MTA-2271001,,,,,,,,,,,
33,MTA-0004604,MTA-0066019,MTA-0116012,MTA-0255002,MTA-0430629,MTA-1362587,MTA-2270988,MTA-2270991,MTA-2271001,MTA-2301135,UK-0031079,,,,,,,,
34,MTA-0004604,MTA-0066019,MTA-0255002,MTA-0648496,MTA-0883838,MTA-1666072,,,,,,,,,,,,,
35,MTA-0004604,MTA-0066019,MTA-0088734,MTA-0648496,MTA-2078644,MTA-2078648,MTA-2115101,MTA-2115134,MTA-2174450,MTA-2270988,MTA-2270991,MTA-2271001,,,,,,,
36,MTA-0004604,MTA-0066019,MTA-0088734,MTA-0648496,MTA-2115101,MTA-2115134,MTA-2174450,MTA-2270988,MTA-2270991,MTA-2271001,UK-0031079,,,,,,,,
37,MTA-0004604,MTA-0066019,MTA-0648496,MTA-2115101,MTA-2115134,,,,,,,,,,,,,,
38,MTA-0004604,MTA-0066019,MTA-0088734,MTA-0138708,MTA-2115101,MTA-2115134,MTA-2174450,MTA-2270988,MTA-2270991,MTA-2271001,UK-0031079,,,,,,,,
39,MTA-0004604,MTA-0066019,MTA-0430612,MTA-1362587,MTA-1666072,MTA-2270988,MTA-2270991,,,,,,,,,,,,
40,MTA-0004604,MTA-0066019,MTA-0088734,MTA-0648496,MTA-2115101,MTA-2115134,MTA-2174450,MTA-2270988,MTA-2270991,MTA-2271001,,,,,,,,,
41,MTA-0004604,MTA-0066019,MTA-0138708,MTA-1431893,MTA-2007323,MTA-2115101,MTA-2115134,MTA-2270988,MTA-2270991,MTA-2271001,UK-0031079,,,,,,,,
42,MTA-0004604,MTA-0066019,MTA-0138708,MTA-0648496,MTA-1362587,MTA-2115101,MTA-2115134,MTA-2270988,MTA-2270991,MTA-2271001,,,,,,,,,
43,MTA-0004604,MTA-0066019,MTA-0088734,MTA-0116012,MTA-0648496,MTA-2115101,MTA-2115134,MTA-2174450,MTA-2270988,MTA-2270991,MTA-2271001,UK-0031079,,,,,,,
44,MTA-0004604,MTA-0066019,MTA-0430629,MTA-1666072,MTA-2115134,MTA-2243015,MTA-2270988,MTA-2270991,MTA-2271001,,,,,,,,,,
45,MTA-0004604,MTA-0066019,MTA-0116012,MTA-0648496,MTA-2115101,MTA-2115134,MTA-2174450,MTA-2270988,MTA-2270991,MTA-2271001,,,,,,,,,
46,MTA-0004604,MTA-0066019,MTA-0255002,MTA-0430629,MTA-0648496,MTA-0883838,MTA-2007323,MTA-2115101,MTA-2243015,MTA-2270988,MTA-2270991,MTA-2271001,,,,,,,
47,MTA-0004604,MTA-0066019,MTA-0430629,MTA-1666072,MTA-2270988,MTA-2270991,MTA-2271001,,,,,,,,,,,,
48,MTA-0004604,MTA-0066019,MTA-0088734,MTA-0116012,MTA-0648496,MTA-2115101,MTA-2115134,MTA-2174450,MTA-2270988,MTA-2270991,MTA-2271001,,,,,,,,
49,MTA-0004604,MTA-0066019,MTA-0255002,MTA-0407203,MTA-0507814,MTA-0883838,MTA-0894200,MTA-1362587,MTA-2270988,MTA-2270991,MTA-2271001,UK-0031079,,,,,,,
50,MTA-0004604,MTA-0066019,MTA-1362587,MTA-1666072,MTA-2115134,MTA-2243015,MTA-2270988,MTA-2270991,MTA-2271001,UK-0031079,,,,,,,,,
51,MTA-0004604,MTA-0066019,MTA-0255002,MTA-0430629,MTA-1666072,MTA-1943785,MTA-2270988,MTA-2270991,MTA-2271001,MTA-2301135,,,,,,,,,
52,MTA-0004604,MTA-0066019,MTA-0255002,MTA-0430629,MTA-1666072,MTA-1943785,MTA-2007323,MTA-2270988,MTA-2270991,MTA-2271001,MTA-2301135,,,,,,,,
53,MTA-0004604,MTA-0066019,MTA-0088734,MTA-0430629,MTA-1362587,MTA-1666072,MTA-1943785,MTA-2007323,MTA-2270988,MTA-2270991,MTA-2271001,UK-0031079,,,,,,,
54,MTA-0004604,MTA-0066019,MTA-0088734,MTA-0257081,MTA-0430629,MTA-0473988,MTA-1362587,MTA-1431893,MTA-2007323,MTA-2270988,MTA-2270991,MTA-2271001,UK-0031079,,,,,,
55,MTA-0004604,MTA-0066019,MTA-0088734,MTA-0648496,MTA-2115101,MTA-2115134,MTA-2174450,MTA-2270988,MTA-2270991,MTA-2271001,,,,,,,,,
56,MTA-0004604,MTA-0066019,MTA-0088734,MTA-0116012,MTA-0138708,MTA-2007323,MTA-2115101,MTA-2115134,MTA-2270988,MTA-2270991,MTA-2271001,,,,,,,,
57,MTA-0004604,MTA-0066019,MTA-0088734,MTA-0116012,MTA-0138708,MTA-1431893,MTA-2007323,MTA-2115101,MTA-2115134,MTA-2270988,MTA-2270991,MTA-2271001,UK-0031079,,,,,,
58,MTA-0004604,MTA-0066019,MTA-0088734,MTA-0648496,MTA-2115101,MTA-2115134,MTA-2174450,MTA-2270988,MTA-2270991,MTA-2271001,UK-0031079,,,,,,,,
59,MTA-0004604,MTA-0066019,MTA-0255002,MTA-0430629,MTA-1381597,MTA-1666072,MTA-1666916,MTA-2115134,MTA-2174450,MTA-2241850,MTA-2242934,MTA-2270988,MTA-2270991,MTA-2271001,MTA-2444965,,,,
60,MTA-0004604,MTA-0066019,MTA-0116012,MTA-0255002,MTA-0883838,MTA-1031475,MTA-1362587,MTA-1666072,MTA-2115101,MTA-2115134,MTA-2243015,MTA-2270988,MTA-2270991,MTA-2271001,MTA-2283719,MTA-2301135,UK-0050677,,
61,MTA-0004604,MTA-0066019,MTA-0088734,MTA-0116012,MTA-0648496,MTA-2115101,MTA-2115134,MTA-2174450,MTA-2270988,MTA-2270991,MTA-2271001,UK-0031079,,,,,,,
62,MTA-0004604,MTA-0066019,MTA-0430629,MTA-1666072,MTA-1943785,MTA-2007323,MTA-2270988,MTA-2270991,MTA-2271001,,,,,,,,,,
63,MTA-0004604,MTA-0069934,MTA-0179717,MTA-0255000,MTA-0894200,MTA-1666072,,,,,,,,,,,,,
64,MTA-0004604,MTA-0069934,,,,,,,,,,,,,,,,,
65,MTA-0004604,MTA-0070125,,,,,,,,,,,,,,,,,
66,MTA-0004604,MTA-0070125,,,,,,,,,,,,,,,,,
67,MTA-0004604,MTA-0088734,MTA-1049874,,,,,,,,,,,,,,,,
68,MTA-0004604,MTA-0088734,MTA-0257081,MTA-0430612,MTA-1666072,MTA-1666133,,,,,,,,,,,,,
69,MTA-0004604,MTA-0088734,MTA-0116012,MTA-0179717,,,,,,,,,,,,,,,
70,MTA-0004604,MTA-0088734,,,,,,,,,,,,,,,,,
71,MTA-0004604,MTA-0088734,MTA-0116012,MTA-0507814,MTA-0592994,,,,,,,,,,,,,,
72,MTA-0004604,MTA-0088734,MTA-0257081,MTA-1666072,UK-0050677,,,,,,,,,,,,,,
73,MTA-0004604,MTA-0088734,MTA-0473988,MTA-1666916,UK-0031079,,,,,,,,,,,,,,
74,MTA-0004604,MTA-0088734,,,,,,,,,,,,,,,,,
75,MTA-0004604,MTA-0088734,MTA-0179717,MTA-0473988,MTA-0507814,,,,,,,,,,,,,,
76,MTA-0004604,MTA-0088734,MTA-0116012,MTA-0255000,MTA-0473988,MTA-1362587,,,,,,,,,,,,,
77,MTA-0004604,MTA-0088734,,,,,,,,,,,,,,,,,
78,MTA-0004604,MTA-0088734,,,,,,,,,,,,,,,,,
79,MTA-0004604,MTA-0088734,MTA-0116012,MTA-0179717,MTA-0257081,MTA-0507814,MTA-1943785,,,,,,,,,,,,
80,MTA-0004604,MTA-0088734,MTA-2242934,,,,,,,,,,,,,,,,
81,MTA-0004604,MTA-0088734,,,,,,,,,,,,,,,,,
82,MTA-0004604,MTA-0088734,MTA-0473988,MTA-1666072,MTA-2275456,MTA-2301135,,,,,,,,,,,,,
83,MTA-0004604,MTA-0088734,MTA-0179717,MTA-0592994,MTA-1936595,MTA-1937586,,,,,,,,,,,,,
84,MTA-0004604,MTA-0088734,MTA-0473988,MTA-0883838,MTA-2270988,MTA-2270991,MTA-2271001,MTA-2496711,,,,,,,,,,,
85,MTA-0004604,MTA-0088734,,,,,,,,,,,,,,,,,
86,MTA-0004604,MTA-0112812,,,,,,,,,,,,,,,,,
87,MTA-0004604,MTA-0112812,,,,,,,,,,,,,,,,,
88,MTA-0004604,MTA-0112812,MTA-0671158,,,,,,,,,,,,,,,,
89,MTA-0004604,MTA-0116012,MTA-0592994,,,,,,,,,,,,,,,,
90,MTA-0004604,MTA-0116012,MTA-0592994,,,,,,,,,,,,,,,,
91,MTA-0004604,MTA-0116012,MTA-0507814,MTA-0628849,MTA-0671158,MTA-0883838,MTA-1666916,MTA-2444965,,,,,,,,,,,
92,MTA-0004604,MTA-0116012,MTA-0507814,MTA-0592994,MTA-0883838,MTA-1049874,MTA-1666072,,,,,,,,,,,,
93,MTA-0004604,MTA-0116012,,,,,,,,,,,,,,,,,
94,MTA-0004604,MTA-0116012,,,,,,,,,,,,,,,,,
95,MTA-0004604,MTA-0116012,,,,,,,,,,,,,,,,,
96,MTA-0004604,MTA-0116012,MTA-0430612,MTA-0507814,MTA-0883838,,,,,,,,,,,,,,
97,MTA-0004604,MTA-0116012,MTA-0883838,MTA-1666072,,,,,,,,,,,,,,,
98,MTA-0004604,MTA-0116012,MTA-0883838,MTA-1666072,,,,,,,,,,,,,,,
99,MTA-0004604,MTA-0116012,,,,,,,,,,,,,,,,,
100,MTA-0004604,MTA-0116012,MTA-1666072,MTA-1943785,MTA-2270988,MTA-2301135,UK-0050677,,,,,,,,,,,,
101,MTA-0004604,MTA-0116012,MTA-0507814,MTA-0592994,MTA-0883838,MTA-1936595,MTA-1937586,,,,,,,,,,,,
102,MTA-0004604,MTA-0116012,MTA-0507814,MTA-0883838,,,,,,,,,,,,,,,
103,MTA-0004604,MTA-0116012,,,,,,,,,,,,,,,,,
104,MTA-0004604,MTA-0116012,MTA-0883838,MTA-1666072,MTA-1666133,,,,,,,,,,,,,,
105,MTA-0004604,MTA-0116012,MTA-0883838,MTA-1977939,MTA-2078644,MTA-2078648,,,,,,,,,,,,,
106,MTA-0004604,MTA-0116012,MTA-0507814,,,,,,,,,,,,,,,,
107,MTA-0004604,MTA-0116276,MTA-2275456,,,,,,,,,,,,,,,,
108,MTA-0004604,MTA-0138645,MTA-2115134,,,,,,,,,,,,,,,,
109,MTA-0004604,MTA-0138645,MTA-1362587,,,,,,,,,,,,,,,,
110,MTA-0004604,MTA-0138645,,,,,,,,,,,,,,,,,
111,MTA-0004604,MTA-0138645,,,,,,,,,,,,,,,,,
112,MTA-0004604,MTA-0138645,MTA-1031475,MTA-1049874,,,,,,,,,,,,,,,
113,MTA-0004604,MTA-0138645,MTA-2100514,,,,,,,,,,,,,,,,
114,MTA-0004604,MTA-0138645,MTA-0407203,,,,,,,,,,,,,,,,
115,MTA-0004604,MTA-0138645,MTA-1049875,MTA-1909429,,,,,,,,,,,,,,,
116,MTA-0004604,MTA-0138645,,,,,,,,,,,,,,,,,
117,MTA-0004604,MTA-0138645,MTA-1049874,MTA-1666072,MTA-1861051,MTA-1909429,,,,,,,,,,,,,
118,MTA-0004604,MTA-0138645,,,,,,,,,,,,,,,,,
119,MTA-0004604,MTA-0138708,MTA-1943785,MTA-2416434,UK-0031079,,,,,,,,,,,,,,
120,MTA-0004604,MTA-0138708,MTA-2078648,,,,,,,,,,,,,,,,
121,MTA-0004604,MTA-0156771,,,,,,,,,,,,,,,,,
122,MTA-0004604,MTA-0179717,MTA-0883838,MTA-1101249,MTA-1101268,MTA-1101276,,,,,,,,,,,,,
123,MTA-0004604,MTA-0255000,MTA-2444965,MTA-2496711,UK-0031079,,,,,,,,,,,,,,
124,MTA-0004604,MTA-0255000,MTA-1666072,MTA-2270988,MTA-2270991,MTA-2271001,,,,,,,,,,,,,
125,MTA-0004604,MTA-0255002,MTA-0894200,MTA-2270991,,,,,,,,,,,,,,,
126,MTA-0004604,MTA-0257081,MTA-2142432,,,,,,,,,,,,,,,,
127,MTA-0004604,MTA-0257081,MTA-0507814,MTA-2115134,MTA-2142432,MTA-2174450,MTA-2270988,MTA-2271001,,,,,,,,,,,
128,MTA-0004604,MTA-0257081,MTA-1943785,UK-0050677,,,,,,,,,,,,,,,
129,MTA-0004604,MTA-0257081,,,,,,,,,,,,,,,,,
130,MTA-0004604,MTA-0407201,MTA-0407203,MTA-2370141,UK-0054770,,,,,,,,,,,,,,
131,MTA-0004604,MTA-0407203,,,,,,,,,,,,,,,,,
132,MTA-0004604,MTA-0407203,,,,,,,,,,,,,,,,,
133,MTA-0004604,MTA-0407203,,,,,,,,,,,,,,,,,
134,MTA-0004604,MTA-0407203,MTA-2115101,MTA-2270988,,,,,,,,,,,,,,,
135,MTA-0004604,MTA-0407203,,,,,,,,,,,,,,,,,
136,MTA-0004604,MTA-0407203,MTA-2483775,,,,,,,,,,,,,,,,
137,MTA-0004604,MTA-0430612,,,,,,,,,,,,,,,,,
138,MTA-0004604,MTA-0430612,,,,,,,,,,,,,,,,,
139,MTA-0004604,MTA-0430612,MTA-1049874,MTA-1049875,,,,,,,,,,,,,,,
140,MTA-0004604,MTA-0469808,,,,,,,,,,,,,,,,,
141,MTA-0004604,MTA-0473988,,,,,,,,,,,,,,,,,
142,MTA-0004604,MTA-0473988,,,,,,,,,,,,,,,,,
143,MTA-0004604,MTA-0473988,,,,,,,,,,,,,,,,,
144,MTA-0004604,MTA-0473988,,,,,,,,,,,,,,,,,
145,MTA-0004604,MTA-0507814,MTA-0883838,,,,,,,,,,,,,,,,
146,MTA-0004604,MTA-0507814,,,,,,,,,,,,,,,,,
147,MTA-0004604,MTA-0507814,MTA-1937586,,,,,,,,,,,,,,,,
148,MTA-0004604,MTA-0507814,MTA-1937586,,,,,,,,,,,,,,,,
149,MTA-0004604,MTA-0507814,MTA-1937586,MTA-2048934,,,,,,,,,,,,,,,
150,MTA-0004604,MTA-0507814,MTA-1937586,,,,,,,,,,,,,,,,
151,MTA-0004604,MTA-0507814,,,,,,,,,,,,,,,,,
152,MTA-0004604,MTA-0507814,MTA-2270988,MTA-2270991,MTA-2271001,,,,,,,,,,,,,,
153,MTA-0004604,MTA-0592994,MTA-1049874,,,,,,,,,,,,,,,,
154,MTA-0004604,MTA-0592994,,,,,,,,,,,,,,,,,
155,MTA-0004604,MTA-0592994,MTA-1666072,,,,,,,,,,,,,,,,
156,MTA-0004604,MTA-0592994,,,,,,,,,,,,,,,,,
157,MTA-0004604,MTA-0592994,MTA-1031475,,,,,,,,,,,,,,,,
158,MTA-0004604,MTA-0592994,MTA-1666072,MTA-2007323,,,,,,,,,,,,,,,
159,MTA-0004604,MTA-0592994,MTA-1666072,UK-0050677,,,,,,,,,,,,,,,
160,MTA-0004604,MTA-0592994,,,,,,,,,,,,,,,,,
161,MTA-0004604,MTA-0592994,,,,,,,,,,,,,,,,,
162,MTA-0004604,MTA-0592994,,,,,,,,,,,,,,,,,
163,MTA-0004604,MTA-0592994,MTA-1310178,MTA-1666133,,,,,,,,,,,,,,,
164,MTA-0004604,MTA-0592994,MTA-1310178,MTA-1666133,,,,,,,,,,,,,,,
165,MTA-0004604,MTA-0592994,MTA-0883838,MTA-2201820,,,,,,,,,,,,,,,
166,MTA-0004604,MTA-0671158,MTA-2007323,MTA-2242934,MTA-2270988,MTA-2270991,MTA-2483775,,,,,,,,,,,,
167,MTA-0004604,MTA-0883838,,,,,,,,,,,,,,,,,
168,MTA-0004604,MTA-0883838,,,,,,,,,,,,,,,,,
169,MTA-0004604,MTA-0883838,MTA-1666072,MTA-2301135,,,,,,,,,,,,,,,
170,MTA-0004604,MTA-0883838,MTA-1049874,MTA-1049875,,,,,,,,,,,,,,,
171,MTA-0004604,MTA-0883838,,,,,,,,,,,,,,,,,
172,MTA-0004604,MTA-0989118,,,,,,,,,,,,,,,,,
173,MTA-0004604,MTA-0989118,MTA-1666072,,,,,,,,,,,,,,,,
174,MTA-0004604,MTA-0989118,,,,,,,,,,,,,,,,,
175,MTA-0004604,MTA-1031475,MTA-1031476,,,,,,,,,,,,,,,,
176,MTA-0004604,MTA-1031475,,,,,,,,,,,,,,,,,
177,MTA-0004604,MTA-1031475,MTA-1031476,,,,,,,,,,,,,,,,
178,MTA-0004604,MTA-1031475,MTA-1031476,,,,,,,,,,,,,,,,
179,MTA-0004604,MTA-1031476,,,,,,,,,,,,,,,,,
180,MTA-0004604,MTA-1049874,,,,,,,,,,,,,,,,,
181,MTA-0004604,MTA-1049874,,,,,,,,,,,,,,,,,
182,MTA-0004604,MTA-1049874,,,,,,,,,,,,,,,,,
183,MTA-0004604,MTA-1049874,MTA-1049875,,,,,,,,,,,,,,,,
184,MTA-0004604,MTA-1049874,,,,,,,,,,,,,,,,,
185,MTA-0004604,MTA-1049874,MTA-1968715,,,,,,,,,,,,,,,,
186,MTA-0004604,MTA-1049874,,,,,,,,,,,,,,,,,
187,MTA-0004604,MTA-1049874,MTA-1943772,,,,,,,,,,,,,,,,
188,MTA-0004604,MTA-1049874,,,,,,,,,,,,,,,,,
189,MTA-0004604,MTA-1049874,,,,,,,,,,,,,,,,,
190,MTA-0004604,MTA-1049874,,,,,,,,,,,,,,,,,
191,MTA-0004604,MTA-1049874,,,,,,,,,,,,,,,,,
192,MTA-0004604,MTA-1049874,,,,,,,,,,,,,,,,,
193,MTA-0004604,MTA-1049874,,,,,,,,,,,,,,,,,
194,MTA-0004604,MTA-1049874,MTA-1666072,,,,,,,,,,,,,,,,
195,MTA-0004604,MTA-1049874,,,,,,,,,,,,,,,,,
196,MTA-0004604,MTA-1049874,,,,,,,,,,,,,,,,,
197,MTA-0004604,MTA-1049874,MTA-1049875,,,,,,,,,,,,,,,,
198,MTA-0004604,MTA-1049874,MTA-2142432,,,,,,,,,,,,,,,,
199,MTA-0004604,MTA-1049875,MTA-2115134,,,,,,,,,,,,,,,,
200,MTA-0004604,MTA-1057884,,,,,,,,,,,,,,,,,
201,MTA-0004604,MTA-1101268,MTA-1431893,MTA-2115101,,,,,,,,,,,,,,,
202,MTA-0004604,MTA-1101276,,,,,,,,,,,,,,,,,
203,MTA-0004604,MTA-1362587,MTA-1943785,MTA-2301135,,,,,,,,,,,,,,,
204,MTA-0004604,MTA-1362587,,,,,,,,,,,,,,,,,
205,MTA-0004604,MTA-1381597,MTA-2270988,MTA-2444965,,,,,,,,,,,,,,,
206,MTA-0004604,MTA-1666072,MTA-1936595,,,,,,,,,,,,,,,,
207,MTA-0004604,MTA-1666072,,,,,,,,,,,,,,,,,
208,MTA-0004604,MTA-1666072,,,,,,,,,,,,,,,,,
209,MTA-0004604,MTA-1666072,MTA-2243015,MTA-2270988,MTA-2270991,MTA-2271001,UK-0050677,,,,,,,,,,,,
210,MTA-0004604,MTA-1666072,,,,,,,,,,,,,,,,,
211,MTA-0004604,MTA-1666072,,,,,,,,,,,,,,,,,
212,MTA-0004604,MTA-1666072,,,,,,,,,,,,,,,,,
213,MTA-0004604,MTA-1666072,,,,,,,,,,,,,,,,,
214,MTA-0004604,MTA-1666072,,,,,,,,,,,,,,,,,
215,MTA-0004604,MTA-1666072,,,,,,,,,,,,,,,,,
216,MTA-0004604,MTA-1666072,MTA-1909429,,,,,,,,,,,,,,,,
217,MTA-0004604,MTA-1666072,,,,,,,,,,,,,,,,,
218,MTA-0004604,MTA-1666072,,,,,,,,,,,,,,,,,
219,MTA-0004604,MTA-1666072,,,,,,,,,,,,,,,,,
220,MTA-0004604,MTA-1666133,,,,,,,,,,,,,,,,,
221,MTA-0004604,MTA-1861051,MTA-2100514,,,,,,,,,,,,,,,,
222,MTA-0004604,MTA-1909429,,,,,,,,,,,,,,,,,
223,MTA-0004604,MTA-1909429,MTA-1943785,UK-0050677,,,,,,,,,,,,,,,
224,MTA-0004604,MTA-1937586,,,,,,,,,,,,,,,,,
225,MTA-0004604,MTA-1943785,MTA-2270988,MTA-2270991,MTA-2271001,,,,,,,,,,,,,,
226,MTA-0004604,MTA-1943785,,,,,,,,,,,,,,,,,
227,MTA-0004604,MTA-1943785,,,,,,,,,,,,,,,,,
228,MTA-0004604,MTA-1943785,,,,,,,,,,,,,,,,,
229,MTA-0004604,MTA-1977938,,,,,,,,,,,,,,,,,
230,MTA-0004604,MTA-2007323,,,,,,,,,,,,,,,,,
231,MTA-0004604,MTA-2007323,,,,,,,,,,,,,,,,,
232,MTA-0004604,MTA-2037009,,,,,,,,,,,,,,,,,
233,MTA-0004604,MTA-2052434,,,,,,,,,,,,,,,,,
234,MTA-0004604,MTA-2052434,MTA-2078644,MTA-2100514,,,,,,,,,,,,,,,
235,MTA-0004604,MTA-2078644,,,,,,,,,,,,,,,,,
236,MTA-0004604,MTA-2078648,,,,,,,,,,,,,,,,,
237,MTA-0004604,MTA-2078648,,,,,,,,,,,,,,,,,
238,MTA-0004604,MTA-2079036,,,,,,,,,,,,,,,,,
239,MTA-0004604,MTA-2092239,,,,,,,,,,,,,,,,,
240,MTA-0004604,MTA-2142432,,,,,,,,,,,,,,,,,
241,MTA-0004604,MTA-2142432,,,,,,,,,,,,,,,,,
242,MTA-0004604,MTA-2241850,MTA-2301135,,,,,,,,,,,,,,,,
243,MTA-0004604,MTA-2270988,MTA-2271001,UK-0050677,UK-0054770,,,,,,,,,,,,,,
244,MTA-0004604,MTA-2270988,MTA-2496711,,,,,,,,,,,,,,,,
245,MTA-0004604,MTA-2270988,MTA-2271001,UK-0050677,UK-0054770,,,,,,,,,,,,,,
246,MTA-0004604,MTA-2270988,MTA-2271001,UK-0050677,,,,,,,,,,,,,,,
247,MTA-0004604,MTA-2270988,MTA-2270991,,,,,,,,,,,,,,,,
248,MTA-0004604,MTA-2275456,,,,,,,,,,,,,,,,,
249,MTA-0004604,MTA-2275456,MTA-2416434,,,,,,,,,,,,,,,,
250,MTA-0004604,MTA-2275456,,,,,,,,,,,,,,,,,
251,MTA-0004604,MTA-2283719,MTA-2432033,,,,,,,,,,,,,,,,
252,MTA-0004604,MTA-2283719,,,,,,,,,,,,,,,,,
253,MTA-0004604,MTA-2301135,,,,,,,,,,,,,,,,,
254,MTA-0004604,MTA-2301135,,,,,,,,,,,,,,,,,
255,MTA-0004604,MTA-2370141,MTA-2496711,UK-0054770,,,,,,,,,,,,,,,
256,MTA-0004604,MTA-2489954,,,,,,,,,,,,,,,,,
257,MTA-0004604,MTA-2489954,,,,,,,,,,,,,,,,,
258,MTA-0004604,MTA-2496711,,,,,,,,,,,,,,,,,
259,MTA-0017700,UK-0031079,,,,,,,,,,,,,,,,,
260,MTA-0017700,UK-0050677,,,,,,,,,,,,,,,,,
261,MTA-0017700,MTA-0020145,MTA-0066019,MTA-0179717,MTA-0255002,MTA-0648496,MTA-1310178,UK-0050677,UK-0054770,,,,,,,,,,
262,MTA-0017700,MTA-0020145,MTA-0066019,MTA-0255000,MTA-0430629,MTA-0648496,MTA-1310178,MTA-1943785,MTA-2115101,MTA-2115134,MTA-2270988,MTA-2270991,MTA-2271001,MTA-2301135,,,,,
263,MTA-0017700,MTA-0020145,MTA-0066019,MTA-0138708,MTA-0255002,MTA-1049874,MTA-1362587,MTA-2007323,MTA-2241850,MTA-2242934,MTA-2270991,MTA-2370141,,,,,,,
264,MTA-0017700,MTA-0020145,MTA-0066019,MTA-0116012,MTA-0255000,MTA-0648496,MTA-1310178,,,,,,,,,,,,
265,MTA-0017700,MTA-0020145,,,,,,,,,,,,,,,,,
266,MTA-0017700,MTA-0020145,MTA-0066019,MTA-1362587,,,,,,,,,,,,,,,
267,MTA-0017700,MTA-0020145,MTA-0648496,MTA-1310178,,,,,,,,,,,,,,,
268,MTA-0017700,MTA-0020145,MTA-0255000,MTA-0430629,MTA-0648496,MTA-1310178,MTA-1362587,UK-0031079,,,,,,,,,,,
269,MTA-0017700,MTA-0020145,MTA-1049874,MTA-1049875,MTA-1310178,MTA-1666133,MTA-2115134,,,,,,,,,,,,
270,MTA-0017700,MTA-0020145,MTA-0066019,MTA-0156771,MTA-0255000,MTA-0648496,MTA-1310178,,,,,,,,,,,,
271,MTA-0017700,MTA-0020145,MTA-0066019,MTA-0648496,MTA-2115101,MTA-2115134,,,,,,,,,,,,,
272,MTA-0017700,MTA-0020145,MTA-0066019,MTA-0255002,MTA-0648496,MTA-1310178,MTA-1362587,,,,,,,,,,,,
